Phone,Price,Mobile Link,Rating
"Nothing Phone (2a) 5G (Black, 128 GB)","₹23,999",https://www.flipkart.com/nothing-phone-2a-5g-black-128-gb/p/itm85c6bca5edadc?pid=MOBGVMQSZWSCFFWT&lid=LSTMOBGVMQSZWSCFFWTLEUOV6&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_1&otracker=browse&fm=organic&iid=en_0nU2Dk09RUuLggMC9zY1qBjcVyM3c3aOEgLdsq51aCyXACncjNTRgy-OWdlt277GUhCgNtUJgrdrwsXsjTCLxPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=a06ss4q5nk0000001713053440941,4.4
"vivo T2x 5G (Glimmer Black, 128 GB)","₹12,999",https://www.flipkart.com/vivo-t2x-5g-glimmer-black-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUF389GDMP&lid=LSTMOBGZBFUF389GDMPYKMTEO&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_20&otracker=browse&fm=organic&iid=1e453e91-16de-404b-b13a-1cc07c13dd15.MOBGZBFUF389GDMP.SEARCH&ppt=None&ppn=None&ssid=a06ss4q5nk0000001713053440941,4.4
"vivo T2x 5G (Glimmer Black, 128 GB)","₹11,999",https://www.flipkart.com/vivo-t2x-5g-glimmer-black-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUZDW5JHYW&lid=LSTMOBGZBFUZDW5JHYWRCDY5W&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_23&otracker=browse&fm=organic&iid=1e453e91-16de-404b-b13a-1cc07c13dd15.MOBGZBFUZDW5JHYW.SEARCH&ppt=None&ppn=None&ssid=a06ss4q5nk0000001713053440941,4.4
"vivo T2x 5G (Aurora Gold, 128 GB)","₹12,999",https://www.flipkart.com/vivo-t2x-5g-aurora-gold-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUFNDXSGHS&lid=LSTMOBGZBFUFNDXSGHSMEZSSN&marketplace=FLIPKART&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=b_1_24&otracker=browse&fm=organic&iid=1e453e91-16de-404b-b13a-1cc07c13dd15.MOBGZBFUFNDXSGHS.SEARCH&ppt=None&ppn=None&ssid=a06ss4q5nk0000001713053440941,4.4
"REDMI 13C (Starfrost White, 128 GB)","₹7,699",https://www.flipkart.com/redmi-13c-starfrost-white-128-gb/p/itm8e332b8346bef?pid=MOBGWUHSZKWBZQWJ&lid=LSTMOBGWUHSZKWBZQWJALOQ27&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_12&otracker=browse&fm=organic&iid=en_0nU2Dk09RUuLggMC9zY1qBjcVyM3c3aOEgLdsq51aCyYgS-3qhxoMBX0XcTLdmOJh6fxwmfOxfzvUSwvgAj2o2aRs4JL222ZRV-dN99QnxU%3D&ppt=None&ppn=None&ssid=a06ss4q5nk0000001713053440941,4.3
"REDMI 13C (Starshine Green, 128 GB)","₹7,699",https://www.flipkart.com/redmi-13c-starshine-green-128-gb/p/itmc4f0763fb3a50?pid=MOBGW4HKUXHFDYU2&lid=LSTMOBGW4HKUXHFDYU2WMFCCU&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_13&otracker=browse&fm=organic&iid=1e453e91-16de-404b-b13a-1cc07c13dd15.MOBGW4HKUXHFDYU2.SEARCH&ppt=None&ppn=None&ssid=a06ss4q5nk0000001713053440941,4.3
"REDMI 12 5G (Jade Black, 128 GB)","₹11,999",https://www.flipkart.com/redmi-12-5g-jade-black-128-gb/p/itmb7b9567637d5c?pid=MOBGS9QU7QVWUWRD&lid=LSTMOBGS9QU7QVWUWRDWPHNEP&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_18&otracker=browse&fm=organic&iid=en_0nU2Dk09RUuLggMC9zY1qBjcVyM3c3aOEgLdsq51aCzFAlIQGPQsZaOSEs63L3x_B5-aRppkgDwG2QWURTatePKSJvID5C-RdFfAlzwDiqI%3D&ppt=None&ppn=None&ssid=a06ss4q5nk0000001713053440941,4.3
"SAMSUNG Galaxy F15 5G (Groovy Violet, 128 GB)","₹12,999",https://www.flipkart.com/samsung-galaxy-f15-5g-groovy-violet-128-gb/p/itmd0aaf528709de?pid=MOBGYBAVSDFYZFNY&lid=LSTMOBGYBAVSDFYZFNY0YSXRQ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_2&otracker=browse&fm=organic&iid=en_0nU2Dk09RUuLggMC9zY1qBjcVyM3c3aOEgLdsq51aCzIZciaSJ7FAb1YbhWAGC8rYAI8Xkdz4SuszQeLtxJaBfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=a06ss4q5nk0000001713053440941,4.2
"Motorola G34 5G (Ocean Green, 128 GB)","₹11,999",https://www.flipkart.com/motorola-g34-5g-ocean-green-128-gb/p/itm6b1a33b9d9191?pid=MOBGUFK4TZ2CJYHJ&lid=LSTMOBGUFK4TZ2CJYHJPBUF6M&marketplace=FLIPKART&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=b_1_4&otracker=browse&fm=organic&iid=1e453e91-16de-404b-b13a-1cc07c13dd15.MOBGUFK4TZ2CJYHJ.SEARCH&ppt=None&ppn=None&ssid=a06ss4q5nk0000001713053440941,4.2
"Motorola G34 5G (Charcoal Black, 128 GB)","₹11,999",https://www.flipkart.com/motorola-g34-5g-charcoal-black-128-gb/p/itmcf3922f5c94b2?pid=MOBGUFK4QPQMAA2S&lid=LSTMOBGUFK4QPQMAA2SCAYBBS&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_5&otracker=browse&fm=organic&iid=1e453e91-16de-404b-b13a-1cc07c13dd15.MOBGUFK4QPQMAA2S.SEARCH&ppt=None&ppn=None&ssid=a06ss4q5nk0000001713053440941,4.2
"Motorola G34 5G (Ice Blue, 128 GB)","₹11,999",https://www.flipkart.com/motorola-g34-5g-ice-blue-128-gb/p/itmc36bacc1f7bb0?pid=MOBGUFK4P2H9CY7Y&lid=LSTMOBGUFK4P2H9CY7Y4FYWMH&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_6&otracker=browse&fm=organic&iid=1e453e91-16de-404b-b13a-1cc07c13dd15.MOBGUFK4P2H9CY7Y.SEARCH&ppt=None&ppn=None&ssid=a06ss4q5nk0000001713053440941,4.2
"MOTOROLA g24 Power (Ink blue, 128 GB)","₹7,999",https://www.flipkart.com/motorola-g24-power-ink-blue-128-gb/p/itmecab4a01b8aaf?pid=MOBGUFK4UBP7ZTXJ&lid=LSTMOBGUFK4UBP7ZTXJ6TV61J&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_7&otracker=browse&fm=organic&iid=1e453e91-16de-404b-b13a-1cc07c13dd15.MOBGUFK4UBP7ZTXJ.SEARCH&ppt=None&ppn=None&ssid=a06ss4q5nk0000001713053440941,4.2
"SAMSUNG Galaxy F15 5G (Ash Black, 128 GB)","₹12,999",https://www.flipkart.com/samsung-galaxy-f15-5g-ash-black-128-gb/p/itm81af925bc1e26?pid=MOBGYBAVFGJGMQGY&lid=LSTMOBGYBAVFGJGMQGYZF1Q0M&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_8&otracker=browse&fm=organic&iid=en_0nU2Dk09RUuLggMC9zY1qBjcVyM3c3aOEgLdsq51aCwuHTrIXS2rLkH7ZxFClqFHQp-asJH5MfYQ-5BYgyKFk33Gaq_wzx4HJysDmGalzMk%3D&ppt=None&ppn=None&ssid=a06ss4q5nk0000001713053440941,4.2
"MOTOROLA g24 Power (Ink blue, 128 GB)","₹8,999",https://www.flipkart.com/motorola-g24-power-ink-blue-128-gb/p/itm38450b60d2af2?pid=MOBGUFK4RNVPCG3M&lid=LSTMOBGUFK4RNVPCG3MCW1WFP&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_9&otracker=browse&fm=organic&iid=1e453e91-16de-404b-b13a-1cc07c13dd15.MOBGUFK4RNVPCG3M.SEARCH&ppt=None&ppn=None&ssid=a06ss4q5nk0000001713053440941,4.2
"MOTOROLA G04 (Satin Blue, 64 GB)","₹6,999",https://www.flipkart.com/motorola-g04-satin-blue-64-gb/p/itmf126d16fff1b9?pid=MOBGUFK4X5AEBBDE&lid=LSTMOBGUFK4X5AEBBDEF89KFH&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_14&otracker=browse&fm=organic&iid=1e453e91-16de-404b-b13a-1cc07c13dd15.MOBGUFK4X5AEBBDE.SEARCH&ppt=None&ppn=None&ssid=a06ss4q5nk0000001713053440941,4.2
"MOTOROLA g24 Power (Glacier Blue, 128 GB)","₹7,999",https://www.flipkart.com/motorola-g24-power-glacier-blue-128-gb/p/itm766650509967e?pid=MOBGUFK4FEVX2D5T&lid=LSTMOBGUFK4FEVX2D5TYKGLO6&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_15&otracker=browse&fm=organic&iid=1e453e91-16de-404b-b13a-1cc07c13dd15.MOBGUFK4FEVX2D5T.SEARCH&ppt=None&ppn=None&ssid=a06ss4q5nk0000001713053440941,4.2
"MOTOROLA G04 (Sea Green, 64 GB)","₹6,999",https://www.flipkart.com/motorola-g04-sea-green-64-gb/p/itma5e47013b85f7?pid=MOBGUFK4HDHHKJPP&lid=LSTMOBGUFK4HDHHKJPPCWIVJB&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_16&otracker=browse&fm=organic&iid=1e453e91-16de-404b-b13a-1cc07c13dd15.MOBGUFK4HDHHKJPP.SEARCH&ppt=None&ppn=None&ssid=a06ss4q5nk0000001713053440941,4.2
"SAMSUNG Galaxy F15 5G (Jazzy Green, 128 GB)","₹14,499",https://www.flipkart.com/samsung-galaxy-f15-5g-jazzy-green-128-gb/p/itm3202236886884?pid=MOBGYBAVKWJWSNNQ&lid=LSTMOBGYBAVKWJWSNNQQBJZHM&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_17&otracker=browse&fm=organic&iid=en_0nU2Dk09RUuLggMC9zY1qBjcVyM3c3aOEgLdsq51aCwkhO2R66MQLdmpC9bz1JKJB1gctVj8zXD1ISPv_29gWq8iqbiwhGf4dwbXVx7ZSks%3D&ppt=None&ppn=None&ssid=a06ss4q5nk0000001713053440941,4.2
"Motorola G34 5G (Ice Blue, 128 GB)","₹10,999",https://www.flipkart.com/motorola-g34-5g-ice-blue-128-gb/p/itm0f6b45af1c0f0?pid=MOBGUFK4ZX2ZHMTQ&lid=LSTMOBGUFK4ZX2ZHMTQPDILZF&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_19&otracker=browse&fm=organic&iid=1e453e91-16de-404b-b13a-1cc07c13dd15.MOBGUFK4ZX2ZHMTQ.SEARCH&ppt=None&ppn=None&ssid=a06ss4q5nk0000001713053440941,4.2
"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)","₹10,490",https://www.flipkart.com/samsung-galaxy-f14-5g-omg-black-128-gb/p/itmae94033406fb2?pid=MOBGNBFNE6KGXCCR&lid=LSTMOBGNBFNE6KGXCCRXLTXS7&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_21&otracker=browse&fm=organic&iid=en_0nU2Dk09RUuLggMC9zY1qBjcVyM3c3aOEgLdsq51aCwK9qEfK9eIT22DzUbYffLoozGaGLPBt28vfSnGxXSGkcsrgPW5YLzJU0_H6_RHKR0%3D&ppt=None&ppn=None&ssid=a06ss4q5nk0000001713053440941,4.2
"SAMSUNG Galaxy F54 5G (Stardust Silver, 256 GB)","₹22,999",https://www.flipkart.com/samsung-galaxy-f54-5g-stardust-silver-256-gb/p/itme2f1ad33150df?pid=MOBGPN55PEBUKZX2&lid=LSTMOBGPN55PEBUKZX25RULZW&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_22&otracker=browse&fm=organic&iid=en_0nU2Dk09RUuLggMC9zY1qBjcVyM3c3aOEgLdsq51aCy6naC1Lw4PdKT2Mils77ZxRxiN0zJiustx6AjJNKC62MDbPjpExlWhmpgUQnOg2ao%3D&ppt=None&ppn=None&ssid=a06ss4q5nk0000001713053440941,4.2
"POCO C51 - Locked with Airtel Prepaid (Power Black, 64 GB)","₹4,999",https://www.flipkart.com/poco-c51-locked-airtel-prepaid-power-black-64-gb/p/itmf84c207e77bd0?pid=MOBGQTDPRFVZQYWB&lid=LSTMOBGQTDPRFVZQYWBKWRQKC&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_3&otracker=browse&fm=organic&iid=1e453e91-16de-404b-b13a-1cc07c13dd15.MOBGQTDPRFVZQYWB.SEARCH&ppt=None&ppn=None&ssid=a06ss4q5nk0000001713053440941,4
"POCO C51 - Locked with Airtel Prepaid (Royal Blue, 64 GB)","₹4,999",https://www.flipkart.com/poco-c51-locked-airtel-prepaid-royal-blue-64-gb/p/itm795e693024fbb?pid=MOBGQTDP5DGSNS7Q&lid=LSTMOBGQTDP5DGSNS7QW964PY&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_10&otracker=browse&fm=organic&iid=1e453e91-16de-404b-b13a-1cc07c13dd15.MOBGQTDP5DGSNS7Q.SEARCH&ppt=None&ppn=None&ssid=a06ss4q5nk0000001713053440941,4
"Xiaomi 14 Ultra (White, 512 GB)","₹99,999",https://www.flipkart.com/xiaomi-14-ultra-white-512-gb/p/itmedf0f28337915?pid=MOBGZZBHFXB2E5KK&lid=LSTMOBGZZBHFXB2E5KKNU2ABM&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_11&otracker=browse&fm=organic&iid=en_0nU2Dk09RUuLggMC9zY1qBjcVyM3c3aOEgLdsq51aCxDNfoaxrQAeBLoI308tXLRdymi4zMmPRVXPz3WeZOynOvN4Mn-dv-pi277bRzMbnY%3D&ppt=None&ppn=None&ssid=a06ss4q5nk0000001713053440941,Not available
